config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.001_bs64_dr0.1_ls0.1,42,94,0.5125,0.9955,0.5083,0.9973,31.22
lr0.001_bs64_dr0.1_ls0.1,42,95,0.5127,0.9958,0.5083,0.9972,31.16
lr0.001_bs64_dr0.1_ls0.1,42,96,0.5116,0.9961,0.5083,0.9974,31.25
lr0.001_bs64_dr0.1_ls0.1,42,97,0.5125,0.9958,0.5083,0.9973,31.25
lr0.001_bs64_dr0.1_ls0.1,42,98,0.5127,0.9956,0.5083,0.9974,31.22
lr0.001_bs64_dr0.1_ls0.1,42,99,0.5116,0.9960,0.5082,0.9975,31.21
lr0.001_bs64_dr0.1_ls0.1,42,100,0.5115,0.9958,0.5083,0.9972,31.29
lr0.001_bs64_dr0.2_ls0.2,42,1,1.9238,0.7371,1.2150,0.8636,31.27
lr0.001_bs64_dr0.2_ls0.2,42,2,1.1006,0.9268,1.0314,0.9734,31.24
lr0.001_bs64_dr0.2_ls0.2,42,3,1.0239,0.9546,0.9560,0.9862,31.27
lr0.001_bs64_dr0.2_ls0.2,42,4,0.9918,0.9647,0.9586,0.9852,31.28
lr0.001_bs64_dr0.2_ls0.2,42,5,0.9723,0.9685,0.9484,0.9848,31.21
lr0.001_bs64_dr0.2_ls0.2,42,6,0.9581,0.9729,0.9252,0.9882,31.18
lr0.001_bs64_dr0.2_ls0.2,42,7,0.9498,0.9740,0.9094,0.9898,31.11
lr0.001_bs64_dr0.2_ls0.2,42,8,0.9420,0.9765,0.9080,0.9909,31.11
lr0.001_bs64_dr0.2_ls0.2,42,9,0.9373,0.9768,0.9008,0.9918,31.27
lr0.001_bs64_dr0.2_ls0.2,42,10,0.9328,0.9775,0.9092,0.9913,31.20
lr0.001_bs64_dr0.2_ls0.2,42,11,0.9284,0.9786,0.8959,0.9920,31.25
lr0.001_bs64_dr0.2_ls0.2,42,12,0.9235,0.9808,0.8929,0.9942,31.17
lr0.001_bs64_dr0.2_ls0.2,42,13,0.9191,0.9831,0.8875,0.9947,31.35
lr0.001_bs64_dr0.2_ls0.2,42,14,0.9194,0.9814,0.8929,0.9928,31.22
lr0.001_bs64_dr0.2_ls0.2,42,15,0.9161,0.9826,0.8895,0.9948,31.24
lr0.001_bs64_dr0.2_ls0.2,42,16,0.9126,0.9837,0.8868,0.9934,31.26
lr0.001_bs64_dr0.2_ls0.2,42,17,0.9115,0.9842,0.8885,0.9936,31.14
lr0.001_bs64_dr0.2_ls0.2,42,18,0.9111,0.9840,0.8842,0.9950,31.13
lr0.001_bs64_dr0.2_ls0.2,42,19,0.9076,0.9850,0.8892,0.9950,31.17
lr0.001_bs64_dr0.2_ls0.2,42,20,0.9074,0.9855,0.8839,0.9947,31.17
lr0.001_bs64_dr0.2_ls0.2,42,21,0.9056,0.9855,0.8924,0.9948,31.23
lr0.001_bs64_dr0.2_ls0.2,42,22,0.9051,0.9852,0.8844,0.9954,31.10
lr0.001_bs64_dr0.2_ls0.2,42,23,0.9052,0.9855,0.8822,0.9951,31.25
lr0.001_bs64_dr0.2_ls0.2,42,24,0.9007,0.9874,0.8812,0.9953,31.02
lr0.001_bs64_dr0.2_ls0.2,42,25,0.8999,0.9878,0.8814,0.9942,31.31
lr0.001_bs64_dr0.2_ls0.2,42,26,0.9009,0.9868,0.8809,0.9952,31.35
lr0.001_bs64_dr0.2_ls0.2,42,27,0.8993,0.9872,0.8829,0.9944,31.35
lr0.001_bs64_dr0.2_ls0.2,42,28,0.8973,0.9881,0.8821,0.9956,31.06
lr0.001_bs64_dr0.2_ls0.2,42,29,0.8974,0.9878,0.8828,0.9945,31.18
lr0.001_bs64_dr0.2_ls0.2,42,30,0.8962,0.9892,0.8801,0.9956,31.11
lr0.001_bs64_dr0.2_ls0.2,42,31,0.8975,0.9885,0.8801,0.9954,31.06
lr0.001_bs64_dr0.2_ls0.2,42,32,0.8960,0.9886,0.8770,0.9958,31.12
lr0.001_bs64_dr0.2_ls0.2,42,33,0.8949,0.9890,0.8815,0.9948,31.43
lr0.001_bs64_dr0.2_ls0.2,42,34,0.8934,0.9895,0.8792,0.9952,31.16
lr0.001_bs64_dr0.2_ls0.2,42,35,0.8935,0.9896,0.8790,0.9958,31.19
lr0.001_bs64_dr0.2_ls0.2,42,36,0.8938,0.9891,0.8792,0.9954,31.23
lr0.001_bs64_dr0.2_ls0.2,42,37,0.8932,0.9895,0.8785,0.9954,31.25
lr0.001_bs64_dr0.2_ls0.2,42,38,0.8923,0.9897,0.8787,0.9964,31.33
lr0.001_bs64_dr0.2_ls0.2,42,39,0.8913,0.9900,0.8790,0.9958,31.23
lr0.001_bs64_dr0.2_ls0.2,42,40,0.8923,0.9900,0.8796,0.9963,31.05
lr0.001_bs64_dr0.2_ls0.2,42,41,0.8904,0.9908,0.8783,0.9958,31.30
lr0.001_bs64_dr0.2_ls0.2,42,42,0.8914,0.9902,0.8768,0.9965,31.31
lr0.001_bs64_dr0.2_ls0.2,42,43,0.8885,0.9915,0.8780,0.9961,31.09
lr0.001_bs64_dr0.2_ls0.2,42,44,0.8892,0.9906,0.8779,0.9962,31.21
lr0.001_bs64_dr0.2_ls0.2,42,45,0.8896,0.9906,0.8778,0.9962,31.32
lr0.001_bs64_dr0.2_ls0.2,42,46,0.8892,0.9908,0.8755,0.9966,31.19
lr0.001_bs64_dr0.2_ls0.2,42,47,0.8881,0.9916,0.8768,0.9965,31.13
lr0.001_bs64_dr0.2_ls0.2,42,48,0.8877,0.9916,0.8772,0.9964,31.29
lr0.001_bs64_dr0.2_ls0.2,42,49,0.8868,0.9919,0.8754,0.9968,31.26
lr0.001_bs64_dr0.2_ls0.2,42,50,0.8871,0.9914,0.8780,0.9964,31.51
lr0.001_bs64_dr0.2_ls0.2,42,51,0.8850,0.9929,0.8770,0.9960,33.05
lr0.001_bs64_dr0.2_ls0.2,42,52,0.8863,0.9923,0.8754,0.9970,31.20
lr0.001_bs64_dr0.2_ls0.2,42,53,0.8855,0.9923,0.8755,0.9968,31.22
lr0.001_bs64_dr0.2_ls0.2,42,54,0.8855,0.9923,0.8749,0.9966,31.02
lr0.001_bs64_dr0.2_ls0.2,42,55,0.8852,0.9926,0.8749,0.9969,31.14
lr0.001_bs64_dr0.2_ls0.2,42,56,0.8843,0.9928,0.8760,0.9967,31.37
lr0.001_bs64_dr0.2_ls0.2,42,57,0.8838,0.9932,0.8758,0.9969,31.35
lr0.001_bs64_dr0.2_ls0.2,42,58,0.8836,0.9934,0.8757,0.9963,31.14
lr0.001_bs64_dr0.2_ls0.2,42,59,0.8843,0.9927,0.8767,0.9961,31.31
lr0.001_bs64_dr0.2_ls0.2,42,60,0.8839,0.9936,0.8777,0.9968,31.14
lr0.001_bs64_dr0.2_ls0.2,42,61,0.8842,0.9929,0.8745,0.9971,31.00
lr0.001_bs64_dr0.2_ls0.2,42,62,0.8835,0.9931,0.8749,0.9973,31.30
lr0.001_bs64_dr0.2_ls0.2,42,63,0.8823,0.9939,0.8742,0.9972,31.24
lr0.001_bs64_dr0.2_ls0.2,42,64,0.8828,0.9938,0.8752,0.9968,31.20
lr0.001_bs64_dr0.2_ls0.2,42,65,0.8817,0.9941,0.8745,0.9972,31.32
lr0.001_bs64_dr0.2_ls0.2,42,66,0.8819,0.9939,0.8746,0.9973,31.07
lr0.001_bs64_dr0.2_ls0.2,42,67,0.8822,0.9937,0.8744,0.9969,31.19
lr0.001_bs64_dr0.2_ls0.2,42,68,0.8823,0.9936,0.8751,0.9971,31.25
lr0.001_bs64_dr0.2_ls0.2,42,69,0.8803,0.9949,0.8743,0.9968,31.30
lr0.001_bs64_dr0.2_ls0.2,42,70,0.8813,0.9938,0.8745,0.9972,31.11
lr0.001_bs64_dr0.2_ls0.2,42,71,0.8812,0.9939,0.8744,0.9972,31.17
lr0.001_bs64_dr0.2_ls0.2,42,72,0.8802,0.9944,0.8742,0.9970,31.24
lr0.001_bs64_dr0.2_ls0.2,42,73,0.8810,0.9940,0.8746,0.9970,31.08
lr0.001_bs64_dr0.2_ls0.2,42,74,0.8807,0.9942,0.8750,0.9964,31.39
lr0.001_bs64_dr0.2_ls0.2,42,75,0.8804,0.9947,0.8738,0.9976,31.21
lr0.001_bs64_dr0.2_ls0.2,42,76,0.8798,0.9950,0.8745,0.9970,31.07
